reviewer_name,review_text,rating,review_date,likes_count
John Doe,Tempat yang sangat indah dan menyenangkan. Pemandangannya luar biasa!,5,2024-01-15,10
Jane Smith,Bagus tapi agak ramai saat weekend. Tetap worth it untuk dikunjungi.,4,2024-01-20,5
Ahmad,Tempat wisata yang recommended. Fasilitasnya lengkap dan bersih.,5,2024-02-01,8
Siti,Pemandangannya cantik tapi akses jalan kurang bagus.,3,2024-02-10,2
Budi,Sangat puas dengan kunjungan ini. Akan datang lagi!,5,2024-02-15,15
Maria,Tempatnya oke tapi harga tiket masuknya agak mahal.,3,2024-03-01,3
Rudi,Destinasi wisata yang sempurna untuk keluarga. Anak-anak sangat senang!,5,2024-03-10,12
Lisa,Bagus untuk foto-foto. Instagramable banget!,4,2024-03-15,20
Andi,Kurang puas dengan pelayanannya. Tempatnya sih bagus.,3,2024-03-20,1
Dewi,Tempat yang wajib dikunjungi kalau ke kota ini!,5,2024-04-01,18
